variant,sample,rule,mode,n,mean_sse,median_sse,mean_mae_all,mean_winner_abs_err,mean_next_opp_abs_err,mean_field_sse
single,full,a_naive,in_sample,22,0.0009,0.00062,0.00229,0.01365,0.00559,0.00047
single,full,a_naive,out_of_sample,22,0.0009,0.00062,0.00229,0.01365,0.00559,0.00047
single,full,b_winner_nextopp,in_sample,22,0.00094,0.00062,0.00231,0.014,0.00604,0.00047
single,full,b_winner_nextopp,out_of_sample,22,0.00104,0.00063,0.00236,0.01519,0.00661,0.00047
single,full,c_learned_q,in_sample,22,0.0013,0.00067,0.00257,0.01615,0.0059,0.00068
single,full,c_learned_q,out_of_sample,22,0.00219,0.00068,0.00288,0.02107,0.00733,0.00091
single,filtered_R,a_naive,in_sample,7,0.00125,0.00161,0.00275,0.01982,0.00859,0.0006
single,filtered_R,a_naive,out_of_sample,7,0.00125,0.00161,0.00275,0.01982,0.00859,0.0006
single,filtered_R,b_winner_nextopp,in_sample,7,0.00104,0.00114,0.00266,0.01672,0.00856,0.0006
single,filtered_R,b_winner_nextopp,out_of_sample,7,0.00121,0.00131,0.00278,0.01962,0.01009,0.0006
single,filtered_R,c_learned_q,in_sample,7,0.00077,0.00083,0.00239,0.0096,0.00679,0.00058
single,filtered_R,c_learned_q,out_of_sample,7,0.00096,0.00099,0.00259,0.01243,0.01063,0.0006
vwap3,full,a_naive,in_sample,22,0.00224,0.0018,0.00398,0.01521,0.00989,0.00154
vwap3,full,a_naive,out_of_sample,22,0.00224,0.0018,0.00398,0.01521,0.00989,0.00154
vwap3,full,b_winner_nextopp,in_sample,22,0.00227,0.00178,0.00399,0.01584,0.00988,0.00154
vwap3,full,b_winner_nextopp,out_of_sample,22,0.00242,0.00178,0.00406,0.01718,0.01094,0.00154
vwap3,full,c_learned_q,in_sample,22,0.00309,0.0017,0.00434,0.01796,0.01042,0.00215
vwap3,full,c_learned_q,out_of_sample,22,0.00474,0.00171,0.00473,0.02377,0.01324,0.00266
vwap3,filtered_R,a_naive,in_sample,7,0.0035,0.00292,0.00501,0.02091,0.018,0.00235
vwap3,filtered_R,a_naive,out_of_sample,7,0.0035,0.00292,0.00501,0.02091,0.018,0.00235
vwap3,filtered_R,b_winner_nextopp,in_sample,7,0.00318,0.00326,0.00487,0.01901,0.01495,0.00235
vwap3,filtered_R,b_winner_nextopp,out_of_sample,7,0.0035,0.00357,0.00504,0.02252,0.01753,0.00235
vwap3,filtered_R,c_learned_q,in_sample,7,0.00324,0.00351,0.00478,0.01025,0.01362,0.00269
vwap3,filtered_R,c_learned_q,out_of_sample,7,0.00365,0.004,0.00506,0.0133,0.01851,0.00279
