variant,sample,metric,rule,beats_naive,n_folds,win_rate,binomial_p_value
single,full,sse,b_winner_nextopp,11,22,0.5,1.0
single,full,sse,c_learned_q,14,22,0.636,0.2863
single,full,mae_all,b_winner_nextopp,10,22,0.455,0.8318
single,full,mae_all,c_learned_q,9,22,0.409,0.5235
single,full,winner_abs_err,b_winner_nextopp,12,22,0.545,0.8318
single,full,winner_abs_err,c_learned_q,11,22,0.5,1.0
single,filtered_R,sse,b_winner_nextopp,4,7,0.571,1.0
single,filtered_R,sse,c_learned_q,5,7,0.714,0.4531
single,filtered_R,mae_all,b_winner_nextopp,3,7,0.429,1.0
single,filtered_R,mae_all,c_learned_q,4,7,0.571,1.0
single,filtered_R,winner_abs_err,b_winner_nextopp,4,7,0.571,1.0
single,filtered_R,winner_abs_err,c_learned_q,6,7,0.857,0.125
vwap3,full,sse,b_winner_nextopp,10,22,0.455,0.8318
vwap3,full,sse,c_learned_q,9,22,0.409,0.5235
vwap3,full,mae_all,b_winner_nextopp,11,22,0.5,1.0
vwap3,full,mae_all,c_learned_q,6,22,0.273,0.0525
vwap3,full,winner_abs_err,b_winner_nextopp,12,22,0.545,0.8318
vwap3,full,winner_abs_err,c_learned_q,8,22,0.364,0.2863
vwap3,filtered_R,sse,b_winner_nextopp,3,7,0.429,1.0
vwap3,filtered_R,sse,c_learned_q,4,7,0.571,1.0
vwap3,filtered_R,mae_all,b_winner_nextopp,4,7,0.571,1.0
vwap3,filtered_R,mae_all,c_learned_q,5,7,0.714,0.4531
vwap3,filtered_R,winner_abs_err,b_winner_nextopp,4,7,0.571,1.0
vwap3,filtered_R,winner_abs_err,c_learned_q,6,7,0.857,0.125
