variant,match_id,winner,loser,tier,q_winner,loser_pre,released,winner_share,next_opponent_share,field_share,implied_winner_share,excess_absorption
single,KXWCADVANCE-26JUL05BRANOR,NO,BR,contender,0.3,0.065237651444548,0.064268659196486,0.6262312588699815,0.2641814324054685,0.109587308724546,0.4737026992847809,1.321992168960607
single,KXWCADVANCE-26JUN29NEDMAR,MA,NL,contender,0.42,0.0553037171350861,0.0543829068220106,0.4438849914802817,0.0007828930199714,0.5553321154997451,0.3223063107317747,1.377214707563345
single,KXWCADVANCE-26JUL06PORESP,ES,PT,contender,0.66,0.051789077212806,0.0507920682397252,1.2159214830970544,0.0523446019629224,-0.2682660850599827,1.1937807739334456,1.0185467128027672
single,KXWCADVANCE-26JUL05MEXENG,GB,MX,contender,0.49,0.0499528746465598,0.0489931817482873,1.222597618388258,-0.0387704237053449,-0.1838271946829151,1.5817948558542776,0.7729179380394252
single,KXWCADVANCE-26JUL06USABEL,BE,US,contender,0.46,0.0367924528301886,0.0358013725526862,0.3521715285576243,0.2674257658457592,0.3804027055966085,0.4640039150986779,0.7589839591821749
single,KXWCADVANCE-26JUN29GERPAR,PY,DE,contender,0.14,0.0350089766606822,0.0340973996324233,0.0806114857567976,0.8477045285464031,0.0716839856968024,0.161720086532297,0.4984630387314241
single,KXWCADVANCE-26JUL01USABIH,US,BIH,longshot,0.84,0.0092678405931418,-6.92275674557697e-05,-44.66250000000266,11.98750000000088,33.67500000000797,-107.10000000000731,0.4170168067226854
single,KXWCADVANCE-26JUL01ENGCOD,GB,COD,longshot,0.88,0.0092506938020351,1.7083460391569688e-05,532.2000000000091,-113.00000000000225,-418.20000000000334,612.8795454545569,0.8683598660570245
single,KXWCADVANCE-26JUN29BRAJPN,BR,JP,longshot,0.74,0.0083798882681564,0.0074531042088422,2.0791941646404988,-0.0104202848211182,-1.0687738798193949,2.6336096429878992,0.7894845654808579
single,KXWCADVANCE-26JUN30MEXECU,MX,EC,longshot,0.64,0.0046210720887245,0.0036925669819464,4.063908900766904,-2.4064606088775267,-0.6574482918894187,4.92759412038113,0.824724764557633
single,KXWCADVANCE-26JUL01BELSEN,BE,SN,longshot,0.67,0.0044563279857397,0.0035039470333587,0.7529069767441847,1.2761627906976705,-1.0290697674419595,1.5033842415827832,0.5008080808080801
single,KXWCADVANCE-26JUN30CIVNOR,NO,CIV,longshot,0.65,0.0027624309392265,0.0027624309392265,1.812734082397004,0.732209737827713,-1.544943820224724,3.769230769230768,0.4809294504318583
single,KXWCADVANCE-26JUN30FRASWE,FR,SE,longshot,0.89,0.0027548209366391,0.0018348577351671,26.836556169429105,0.0036832412523017,-25.840239410681477,17.690431849690658,1.5170096692635788
single,KXWCADVANCE-26JUL02PORCRO,PT,HR,longshot,0.73,0.0027497708524289,0.0017909980815756,10.560843964671232,1.8027477919528725,-11.36359175662429,11.735800610321691,0.8998827021126211
single,KXWCADVANCE-26JUL04CANMAR,MA,CA,longshot,0.72,0.0018467220683287,0.0008916122306973,4.032640949554883,21.24629080118678,-24.278931750742032,9.262940982525546,0.4353521151826859
single,KXWCADVANCE-26JUL03ARGCPV,AR,CPV,longshot,0.93,0.001841620626151,0.0009122525964112,-19.55534709193253,0.0281425891181983,20.52720450281406,14.891081119247902,-1.3132254760640376
single,KXWCADVANCE-26JUL04PARFRA,FR,PY,longshot,0.92,0.0018365472910927,0.0008814374534614,21.54626865671636,0.1701492537313438,-20.71641791044787,32.612589227774144,0.6606733524355289
single,KXWCADVANCE-26JUL03AUSEGY,EGY,AU,longshot,0.61,0.0009302325581395,0.0009302325581395,1.0310150375939848,23.17105263157892,-23.202067669173022,1.278688524590164,0.8063066319645266
single,KXWCADVANCE-26JUN28RSACAN,CA,RSA,longshot,0.72,0.0009174311926605,7.513085290213701e-06,119.11111111111256,-13.000000000000028,-105.111111111099,94.9753086419764,1.2541271285584306
single,KXWCADVANCE-26JUL02ESPAUT,ES,AT,longshot,0.88,0.000912408759124,0.000912408759124,29.367327667610944,0.166194523135022,-28.53352219074601,13.636363636363646,2.153604028958134
single,KXWCADVANCE-26JUL02SUIDZA,CH,DZA,longshot,0.67,0.0009082652134423,-3.780858031358729e-05,-56.045454545455215,-1.9772727272723063,59.02272727274349,-70.9925373134338,0.7894555775350465
single,KXWCADVANCE-26JUL03COLGHA,CO,GH,longshot,0.81,0.0008992805755395,-5.21942103786046e-05,37.91803278688559,-8.999999999999998,-27.91803278688078,-141.4521351953052,-0.2680626399490652
